Boozer Name & Address,Region,Part of London,Outside Space,coal,postcode,lat,lng
"Prospect of Whitby, 57 Wapping Wall, London E1W 3SH",E,Wapping,River,"Prospect of Whitby, 57 Wapping Wall, London E1W 3SH",E1W 3SH,51.507102,-0.051045
"Lamb Tavern, 10-12 Leadenhall Market, London EC3V 1LR",EC,City,Space at Front,"Lamb Tavern, 10-12 Leadenhall Market, London EC3V 1LR",EC3V 1LR,51.512699,-0.083435
"The Exmouth Arms, 23 Exmouth Market, London EC1R 4QL",EC,Farringdon,Space at Front,"The Exmouth Arms, 23 Exmouth Market, London EC1R 4QL",EC1R 4QL,51.526075,-0.109042
"Betsey Trotwood, 56 Farringdon Rd, London EC1R 3BL",EC,Farringdon,Space at Front,"Betsey Trotwood, 56 Farringdon Rd, London EC1R 3BL",EC1R 3BL,51.523312,-0.107971
"Hamilton Hall , Liverpool St, London EC2M 7PY",EC,Liverpool Street,Space at Front,"Hamilton Hall , Liverpool St, London EC2M 7PY",EC2M 7PY,51.518488,-0.082198
"The Oyster Shed, 1 Angel Ln, London EC4R 3AB",EC,The City of London,River,"The Oyster Shed, 1 Angel Ln, London EC4R 3AB",EC4R 3AB,51.509739,-0.089439
"The Banker, Cousin Ln, London EC4R 3TE",EC,The City of London,River,"The Banker, Cousin Ln, London EC4R 3TE",EC4R 3TE,51.509652,-0.091723
"The Green Man Hotel, Dagmar Ave, Wembley HA9 8DF",HA,Wembley,Beer Garden,"The Green Man Hotel, Dagmar Ave, Wembley HA9 8DF",HA9 8DF,51.557006,-0.289463
"The Parish Bar, 120 Wembley Park Dr, Wembley HA9 8HP",HA,Wembley,Hybrid,"The Parish Bar, 120 Wembley Park Dr, Wembley HA9 8HP",HA9 8HP,51.561754,-0.283116
"The Drapers Arms, 44 Barnsbury St, London N1 1ER",N,Angel,Beer Garden,"The Drapers Arms, 44 Barnsbury St, London N1 1ER",N1 1ER,51.540556,-0.108266
"Earl of Essex, 25 Danbury St, London N1 8LE",N,Angel,Beer Garden,"Earl of Essex, 25 Danbury St, London N1 8LE",N1 8LE,51.534183,-0.099518
"The Lord Clyde, 340-342 Essex Rd, London N1 3PB",N,Angel,Beer Garden,"The Lord Clyde, 340-342 Essex Rd, London N1 3PB",N1 3PB,51.54352,-0.090274
"The Narrowboat Pub, 119 St Peter's St, London N1 8PZ",N,Angel,Canal,"The Narrowboat Pub, 119 St Peter's St, London N1 8PZ",N1 8PZ,51.533028,-0.096931
"The York, 82 Islington High St, London N1 8EQ",N,Angel,Pedestrian/Spill,"The York, 82 Islington High St, London N1 8EQ",N1 8EQ,51.533672,-0.105021
"Wenlock And Essex, 18-26 Essex Rd, London N1 8LN",N,Angel,Space at Front,"Wenlock And Essex, 18-26 Essex Rd, London N1 8LN",N1 8LN,51.536638,-0.101048
"The Vineyard, 179 Upper St, London N1 1RG",N,Angel,Space at Front,"The Vineyard, 179 Upper St, London N1 1RG",N1 1RG,51.541364,-0.103156
"The Three Johns, 73 White Lion St, London N1 9PF",N,Angel,Space at Front,"The Three Johns, 73 White Lion St, London N1 9PF",N1 9PF,51.532935,-0.108567
"The Foxglove, 209-211 Liverpool Rd, London N1 1LX",N,Angel,Space at Front,"The Foxglove, 209-211 Liverpool Rd, London N1 1LX",N1 1LX,51.539983,-0.106732
"The Angelic, 57 Liverpool Rd, London N1 0RJ",N,Angel,Space at Front,"The Angelic, 57 Liverpool Rd, London N1 0RJ",N1 0RJ,51.534787,-0.107409
"Camden Head, 2 Camden Walk, London N1 8DY",N,Angel,Space at Front,"Camden Head, 2 Camden Walk, London N1 8DY",N1 8DY,51.535706,-0.103089
"Hemingford Arms, 158 Hemingford Rd, London N1 1DF",N,Angel,Space at Front,"Hemingford Arms, 158 Hemingford Rd, London N1 1DF",N1 1DF,51.542966,-0.113115
"The Crown, 116 Cloudesley Rd, London N1 0EB",N,Angel,Space at Front,"The Crown, 116 Cloudesley Rd, London N1 0EB",N1 0EB,51.536441,-0.109434
"The Pig and Butcher, 80 Liverpool Rd, London N1 0QD",N,Angel,Space at Front,"The Pig and Butcher, 80 Liverpool Rd, London N1 0QD",N1 0QD,51.537248,-0.106488
"The Castle, 54 Pentonville Rd, London N1 9HF",N,Angel,Upstairs Terraces,"The Castle, 54 Pentonville Rd, London N1 9HF",N1 9HF,51.532182,-0.108166
"The Faltering Fullback, 19 Perth Rd, London N4 3HB",N,Finsbury Park,2+ Offerings,"The Faltering Fullback, 19 Perth Rd, London N4 3HB",N4 3HB,51.568656,-0.108574
"The Gunners, 204 Blackstock Rd, London N5 1EN",N,Highbury & Is,Beer Garden,"The Gunners, 204 Blackstock Rd, London N5 1EN",N5 1EN,51.559154,-0.098881
"Bank of Friendship, 226 Blackstock Rd, London N5 1EA",N,Highbury & Is,Beer Garden,"Bank of Friendship, 226 Blackstock Rd, London N5 1EA",N5 1EA,51.558569,-0.098848
"The Tollington Arms, 115 Hornsey Rd, London N7 6DN",N,Highbury & Is,Space at Front,"The Tollington Arms, 115 Hornsey Rd, London N7 6DN",N7 6DN,51.557254,-0.11268
"The Horatia, 98-102 Holloway Rd, London N7 8JE",N,Highbury & Is,Space at Front,"The Horatia, 98-102 Holloway Rd, London N7 8JE",N7 8JE,51.550369,-0.108984
"Duchess Of Kent, 441 Liverpool Rd, London N7 8PR",N,Highbury & Is,Space at Front,"Duchess Of Kent, 441 Liverpool Rd, London N7 8PR",N7 8PR,51.545957,-0.108619
"The Highbury Barn Tavern, 26 Highbury Park, London N5 2AB",N,Highbury & Is,Space at Front,"The Highbury Barn Tavern, 26 Highbury Park, London N5 2AB",N5 2AB,51.553525,-0.098181
"Brewhouse and Kitchen - Highbury, 2A Corsica St, London N5 1JJ",N,Highbury & Is,Space at Front,"Brewhouse and Kitchen - Highbury, 2A Corsica St, London N5 1JJ",N5 1JJ,51.546364,-0.10152
"The Twelve Pins, 263 Seven Sisters Rd, London N4 2DE",N,Highbury & Is,Space at Front,"The Twelve Pins, 263 Seven Sisters Rd, London N4 2DE",N4 2DE,51.565004,-0.104585
"The Alwyne Castle, 83 St Paul's Rd, London N1 2LY",N,Highbury & Is,Space at Front,"The Alwyne Castle, 83 St Paul's Rd, London N1 2LY",N1 2LY,51.546559,-0.098599
"Gatehouse, 1 North Rd, London N6 4BD",N,Highgate,Beer Garden,"Gatehouse, 1 North Rd, London N6 4BD",N6 4BD,51.572029,-0.150341
"The Lighterman, 3 Granary Square, London N1C 4BH",N,Kings Cross,2+ Offerings,"The Lighterman, 3 Granary Square, London N1C 4BH",N1C 4BH,51.536437,-0.124485
"Rotunda, Kings Place, 90 York Way, London N1 9AG",N,Kings Cross,Canal,"Rotunda, Kings Place, 90 York Way, London N1 9AG",N1 9AG,51.534239,-0.121995
"Maid of Muswell, 121 Alexandra Park Rd, London N10 2DP",N,Muswell Hill,Space at Front,"Maid of Muswell, 121 Alexandra Park Rd, London N10 2DP",N10 2DP,51.598729,-0.13867
"Sir Richard Steele Pub, 97 Haverstock Hill, London NW3 4RL",NW,Belsize Park,Beer Garden,"Sir Richard Steele Pub, 97 Haverstock Hill, London NW3 4RL",NW3 4RL,51.546711,-0.158652
"The Lock Tavern, 35 Chalk Farm Rd, London NW1 8AJ",NW,Camden,2+ Offerings,"The Lock Tavern, 35 Chalk Farm Rd, London NW1 8AJ",NW1 8AJ,51.542921,-0.148274
"The Ice Wharf, 28 Jamestown Rd, London NW1 7BY",NW,Camden,Canal,"The Ice Wharf, 28 Jamestown Rd, London NW1 7BY",NW1 7BY,51.540183,-0.147448
"Lockside Camden, 75-89 Upper Walkway, London NW1 8AF",NW,Camden,Upstairs Terraces,"Lockside Camden, 75-89 Upper Walkway, London NW1 8AF",NW1 8AF,51.54109,-0.146635
"The Roebuck, 15 Pond St, London NW3 2PN",NW,Hampstead,2+ Offerings,"The Roebuck, 15 Pond St, London NW3 2PN",NW3 2PN,51.553895,-0.167403
"The Freemasons Arms, 32 Downshire Hill, London NW3 1NT",NW,Hampstead,Beer Garden,"The Freemasons Arms, 32 Downshire Hill, London NW3 1NT",NW3 1NT,51.556491,-0.169534
"The Wells, 30 Well Walk, London NW3 1BX",NW,Hampstead,Hybrid,"The Wells, 30 Well Walk, London NW3 1BX",NW3 1BX,51.558907,-0.17339
"The Horseshoe, 28 Heath St, London NW3 6TE",NW,Hampstead,Space at Front,"The Horseshoe, 28 Heath St, London NW3 6TE",NW3 6TE,51.555776,-0.178463
"King William IV, 77 Hampstead High St, London NW3 1RE",NW,Hampstead,Space at Front,"King William IV, 77 Hampstead High St, London NW3 1RE",NW3 1RE,51.555522,-0.176386
"Allsop Arms, 137-143 Gloucester Pl, London NW1 5AL",NW,Marylebone,Space at Front,"Allsop Arms, 137-143 Gloucester Pl, London NW1 5AL",NW1 5AL,51.522309,-0.160209
"Victoria And Albert, 11 Melcombe Pl, London NW1 6JJ",NW,Marylebone,Space at Front,"Victoria And Albert, 11 Melcombe Pl, London NW1 6JJ",NW1 6JJ,51.52309,-0.163003
"The Volunteer, 245-247 Baker St, London NW1 6XE",NW,Marylebone,Space at Front,"The Volunteer, 245-247 Baker St, London NW1 6XE",NW1 6XE,51.523659,-0.158541
"The Trader's Inn, 52 Church St, London NW8 8EP",NW,Marylebone,Space at Front,"The Trader's Inn, 52 Church St, London NW8 8EP",NW8 8EP,51.524058,-0.169711
"The Queens, 49 Regent's Park Rd, London NW1 8XD",NW,Primrose Hill,2+ Offerings,"The Queens, 49 Regent's Park Rd, London NW1 8XD",NW1 8XD,51.540858,-0.157745
"The Pembroke Castle, 150 Gloucester Ave, London NW1 8JA",NW,Primrose Hill,Beer Garden,"The Pembroke Castle, 150 Gloucester Ave, London NW1 8JA",NW1 8JA,51.542234,-0.154907
"The Engineer, 65 Gloucester Ave, London NW1 8JD",NW,Primrose Hill,Beer Garden,"The Engineer, 65 Gloucester Ave, London NW1 8JD",NW1 8JD,51.540756,-0.151711
"The Lansdowne, 90 Gloucester Ave, London NW1 8HX",NW,Primrose Hill,Space at Front,"The Lansdowne, 90 Gloucester Ave, London NW1 8HX",NW1 8HX,51.54179,-0.154117
"Crocker's Folly, 24 Aberdeen Pl, London NW8 8JR",NW,St Johns Wood,Space at Front,"Crocker's Folly, 24 Aberdeen Pl, London NW8 8JR",NW8 8JR,51.525606,-0.175405
"The Woolpack, 98 Bermondsey St, SE1 3UB",SE,Bermondsey,Beer Garden,"The Woolpack, 98 Bermondsey St, SE1 3UB",SE1 3UB,51.500816,-0.082049
"The Grange Pub, 103 - 104 Grange Rd, London SE1 3BW",SE,Bermondsey,Beer Garden,"The Grange Pub, 103 - 104 Grange Rd, London SE1 3BW",SE1 3BW,51.494377,-0.076079
"The Bermondsey Yard Café, 40 Bermondsey St, SE1 3UD",SE,Bermondsey,Hybrid,"The Bermondsey Yard Café, 40 Bermondsey St, SE1 3UD",SE1 3UD,51.501616,-0.082549
"The Angel, 101 Bermondsey Wall, London SE16 4NB",SE,Bermondsey,River,"The Angel, 101 Bermondsey Wall, London SE16 4NB",SE16 4NB,51.500617,-0.059074
"The Victoria, 68-70 Page's Walk, London SE1 4HL",SE,Bermondsey,Space at Front,"The Victoria, 68-70 Page's Walk, London SE1 4HL",SE1 4HL,51.494588,-0.080723
"The Marquis Of Wellington, 21 Druid St, SE1 2HH",SE,Bermondsey,Space at Front,"The Marquis Of Wellington, 21 Druid St, SE1 2HH",SE1 2HH,51.49916,-0.07369
"The Old Bank, 239 Southwark Park Rd, London SE16 3TT",SE,Bermondsey,Space at Front,"The Old Bank, 239 Southwark Park Rd, London SE16 3TT",SE16 3TT,,
"The Gregorian, 96 Jamaica Rd, SE16 4SQ",SE,Bermondsey,Space at Front,"The Gregorian, 96 Jamaica Rd, SE16 4SQ",SE16 4SQ,51.497631,-0.066159
"St James of Bermondsey, 72 St James's Rd, SE16 4QZ",SE,Bermondsey,Space at Front,"St James of Bermondsey, 72 St James's Rd, SE16 4QZ",SE16 4QZ,51.495444,-0.066065
"The Crown, 49 Tranquil Vale, Blackheath, London SE3 0BS",SE,Blackheath,Space at Front,"The Crown, 49 Tranquil Vale, Blackheath, London SE3 0BS",SE3 0BS,51.466596,0.007208
"Wheatsheaf, 6 Stoney St, London SE1 9AA",SE,Borough,2+ Offerings,"Wheatsheaf, 6 Stoney St, London SE1 9AA",SE1 9AA,51.505108,-0.091074
"The Globe Tavern, 8 Bedale St, London SE1 9AL",SE,Borough,Beer Garden,"The Globe Tavern, 8 Bedale St, London SE1 9AL",SE1 9AL,51.505476,-0.089963
"The George Inn,, 77 Borough High St, SE1 1NH",SE,Borough,Beer Garden,"The George Inn,, 77 Borough High St, SE1 1NH",SE1 1NH,51.504243,-0.090462
"Spit and Sawdust, 21 Bartholomew St, London SE1 4AL",SE,Borough,Beer Garden,"Spit and Sawdust, 21 Bartholomew St, London SE1 4AL",SE1 4AL,51.495328,-0.088025
"Bunch of Grapes, 2 St Thomas St, London SE1 9RS",SE,Borough,Beer Garden,"Bunch of Grapes, 2 St Thomas St, London SE1 9RS",SE1 9RS,51.504656,-0.088617
"The Prince of Wales, 51 St George's Rd, London SE1 6ER",SE,Borough,Beer Garden,"The Prince of Wales, 51 St George's Rd, London SE1 6ER",SE1 6ER,51.495823,-0.10459
"The Rake, Borough Market, 14A Winchester Walk, London SE1 9AG",SE,Borough,Hybrid,"The Rake, Borough Market, 14A Winchester Walk, London SE1 9AG",SE1 9AG,51.506273,-0.091288
"The Mudlark, Montague Cl, London SE1 9DA",SE,Borough,Hybrid,"The Mudlark, Montague Cl, London SE1 9DA",SE1 9DA,51.506167,-0.089174
"The Ship, 68 Borough Rd, London SE1 1DX",SE,Borough,River,"The Ship, 68 Borough Rd, London SE1 1DX",SE1 1DX,51.499501,-0.096884
"The Old Thameside Inn, Pickfords Wharf, SE1 9DG",SE,Borough,River,"The Old Thameside Inn, Pickfords Wharf, SE1 9DG",SE1 9DG,51.506983,-0.091918
"The Britannia, 44 Kipling St, Kipling Estate, London SE1 3RU",SE,Borough,Space at Front,"The Britannia, 44 Kipling St, Kipling Estate, London SE1 3RU",SE1 3RU,51.501146,-0.087479
"The Roebuck, 50 Great Dover St, London SE1 4YG",SE,Borough,Space at Front,"The Roebuck, 50 Great Dover St, London SE1 4YG",SE1 4YG,51.49817,-0.090704
"St Christopher’s at the Inn, 121 Borough High St, London SE1 1NP",SE,Borough,Space at Front,"St Christopher’s at the Inn, 121 Borough High St, London SE1 1NP",SE1 1NP,51.503607,-0.091122
"The Brockley Barge, 184 Brockley Rd, London SE4 2RR",SE,Brockely,Beer Garden,"The Brockley Barge, 184 Brockley Rd, London SE4 2RR",SE4 2RR,51.464508,-0.036696
"London Beer Dispensary, 389 Brockley Rd, London SE4 2PH",SE,Brockely,Beer Garden,"London Beer Dispensary, 389 Brockley Rd, London SE4 2PH",SE4 2PH,51.45455,-0.037052
"Brockley Jack, 408-410 Brockley Road, London SE4 2DH",SE,Brockely,Beer Garden,"Brockley Jack, 408-410 Brockley Road, London SE4 2DH",SE4 2DH,51.453423,-0.038551
"The Manor, 140 Walworth Rd, London SE17 1JL",SE,Elephant & Castle,Beer Garden,"The Manor, 140 Walworth Rd, London SE17 1JL",SE17 1JL,51.492099,-0.098391
"The Gipsy Moth, 60 Greenwich Church St, London SE10 9BL",SE,Greenwich,River,"The Gipsy Moth, 60 Greenwich Church St, London SE10 9BL",SE10 9BL,51.481698,-0.009844
"The Florence, 131 Dulwich Rd, London SE24 0NG",SE,Herne Hill,Beer Garden,"The Florence, 131 Dulwich Rd, London SE24 0NG",SE24 0NG,51.452776,-0.10299
"Half Moon, Herne Hill, 10 Half Moon Ln, London SE24 9HU",SE,Herne Hill,Beer Garden,"Half Moon, Herne Hill, 10 Half Moon Ln, London SE24 9HU",SE24 9HU,51.452613,-0.099586
"The Prince Regent, 69 Dulwich Rd, Brixton, London SE24 0NJ",SE,Herne Hill,Space at Front,"The Prince Regent, 69 Dulwich Rd, Brixton, London SE24 0NJ",SE24 0NJ,51.454243,-0.107561
"White Bear, 138, Kennington Park Rd, London SE11 4DJ",SE,Kennington,Beer Garden,"White Bear, 138, Kennington Park Rd, London SE11 4DJ",SE11 4DJ,51.486707,-0.10805
"The Beehive, 51 Durham St, London SE11 5JA",SE,Kennington,Beer Garden,"The Beehive, 51 Durham St, London SE11 5JA",SE11 5JA,51.485125,-0.118828
"The Pilgrim, 247 Kennington Ln, London SE11 5QU",SE,Kennington,Space at Front,"The Pilgrim, 247 Kennington Ln, London SE11 5QU",SE11 5QU,51.486711,-0.113884
"The Dog House, 293 Kennington Rd, London SE11 6BY",SE,Kennington,Space at Front,"The Dog House, 293 Kennington Rd, London SE11 6BY",SE11 6BY,51.490022,-0.110747
"The Tankard, 111 Kennington Rd, London SE11 6SF",SE,Kennington,Upstairs Terraces,"The Tankard, 111 Kennington Rd, London SE11 6SF",SE11 6SF,51.494199,-0.110503
"The Horniman, Hays Galleria, 18-19 Battle Bridge Ln, SE1 2HD",SE,London Bridge,River,"The Horniman, Hays Galleria, 18-19 Battle Bridge Ln, SE1 2HD",SE1 2HD,51.505885,-0.083494
"The Shipwrights Arms, 88 Tooley St, London, SE1 2TF",SE,London Bridge,Space at Front,"The Shipwrights Arms, 88 Tooley St, London, SE1 2TF",SE1 2TF,51.50462,-0.085867
"The New Cross House, 316 New Cross Rd, London SE14 6AF",SE,New Cross,Beer Garden,"The New Cross House, 316 New Cross Rd, London SE14 6AF",SE14 6AF,51.475392,-0.03745
"The Rye, 31 Peckham Rye, London SE15 3NX",SE,Peckham,Beer Garden,"The Rye, 31 Peckham Rye, London SE15 3NX",SE15 3NX,51.464652,-0.065423
"The Salt Quay, 163 Rotherhithe St, London SE16 5QU",SE,Rotherhithe,River,"The Salt Quay, 163 Rotherhithe St, London SE16 5QU",SE16 5QU,51.504626,-0.047621
"Founders Arms, 52 Hopton St, London SE1 9JH",SE,South Bank,River,"Founders Arms, 52 Hopton St, London SE1 9JH",SE1 9JH,51.508264,-0.102027
"Doggett's Coat and Badge, Blackfriars Bridge, London SE1 9UD",SE,South Bank,River,"Doggett's Coat and Badge, Blackfriars Bridge, London SE1 9UD",SE1 9UD,51.508451,-0.104855
"Anchor Bankside, 34 Park St, London SE1 9EF",SE,South Bank,River,"Anchor Bankside, 34 Park St, London SE1 9EF",SE1 9EF,51.506974,-0.092916
"The Anchor & Hope, 36 The Cut,, London SE1 8LP",SE,Southwark,Hybrid,"The Anchor & Hope, 36 The Cut,, London SE1 8LP",SE1 8LP,51.503414,-0.106854
"The White Hart, 22 Great Suffolk St, London SE1 0UG",SE,Southwark,Space at Front,"The White Hart, 22 Great Suffolk St, London SE1 0UG",SE1 0UG,51.505319,-0.101339
"The Union Jack, 225 Union St, London SE1 0LR",SE,Southwark,Space at Front,"The Union Jack, 225 Union St, London SE1 0LR",SE1 0LR,51.503421,-0.102271
"The Ring, 72 Blackfriars Rd, London SE1 8HA",SE,Southwark,Space at Front,"The Ring, 72 Blackfriars Rd, London SE1 8HA",SE1 8HA,51.503051,-0.10501
"Lord Nelson, 243 Union St, London SE1 0LR",SE,Southwark,Space at Front,"Lord Nelson, 243 Union St, London SE1 0LR",SE1 0LR,51.503421,-0.102271
"The Avalon, 16 Balham Hill, London SW12 9EB",SW,Balham,Beer Garden,"The Avalon, 16 Balham Hill, London SW12 9EB",SW12 9EB,51.45053,-0.148088
"The Nightingale, 97 Nightingale Ln, London SW12 8NX",SW,Balham,Beer Garden,"The Nightingale, 97 Nightingale Ln, London SW12 8NX",SW12 8NX,51.450226,-0.157369
"The Devonshire, 39 Balham High Rd, London SW12 9AN",SW,Balham,Beer Garden,"The Devonshire, 39 Balham High Rd, London SW12 9AN",SW12 9AN,51.446766,-0.14896
"The Coach & Horses, 27 Barnes High St, London SW13 9LW",SW,Barnes,Beer Garden,"The Coach & Horses, 27 Barnes High St, London SW13 9LW",SW13 9LW,51.473597,-0.249479
"The White Hart, The Terrace, London SW13 0NR",SW,Barnes,River,"The White Hart, The Terrace, London SW13 0NR",SW13 0NR,51.471343,-0.254571
"The Sun Inn, 7 Church Rd, London SW13 9HE",SW,Barnes,Space at Front,"The Sun Inn, 7 Church Rd, London SW13 9HE",SW13 9HE,51.473774,-0.246904
"The Prince Albert, 85 Albert Bridge Rd, London SW11 4PF",SW,Battersea,2+ Offerings,"The Prince Albert, 85 Albert Bridge Rd, London SW11 4PF",SW11 4PF,51.48002,-0.166103
"The Magic Garden, 231 Battersea Park Rd, London SW11 4LG",SW,Battersea,Beer Garden,"The Magic Garden, 231 Battersea Park Rd, London SW11 4LG",SW11 4LG,51.47531,-0.150811
"The Asparagus, 1-13 Falcon Rd, London SW11 2PL",SW,Battersea,Beer Garden,"The Asparagus, 1-13 Falcon Rd, London SW11 2PL",SW11 2PL,51.469896,-0.171322
"The Woodman, 60 Battersea High St, London SW11 3HX",SW,Battersea,Beer Garden,"The Woodman, 60 Battersea High St, London SW11 3HX",SW11 3HX,51.473567,-0.173864
"Fox and Hounds, 66-68 Latchmere Rd, London SW11 2JU",SW,Battersea,Beer Garden,"Fox and Hounds, 66-68 Latchmere Rd, London SW11 2JU",SW11 2JU,51.466849,-0.162844
"The Light House, 441 Battersea Park Rd, London, SW11 4LR",SW,Battersea,Beer Garden,"The Light House, 441 Battersea Park Rd, London, SW11 4LR",SW11 4LR,51.472494,-0.16328
"Flanagans, 133 Battersea Park Rd, London SW8 4AG",SW,Battersea,Space at Front,"Flanagans, 133 Battersea Park Rd, London SW8 4AG",SW8 4AG,51.477931,-0.144733
"The Victoria, The Victoria, 166 Queenstown Rd, London SW8 3QH",SW,Battersea,Space at Front,"The Victoria, The Victoria, 166 Queenstown Rd, London SW8 3QH",SW8 3QH,51.472742,-0.148179
"Draft House, Westbridge, 74-76 Battersea Bridge Rd, SW11 3AG",SW,Battersea,Space at Front,"Draft House, Westbridge, 74-76 Battersea Bridge Rd, SW11 3AG",SW11 3AG,51.478768,-0.170632
"Duke Of Cambridge, 228 Battersea Bridge Rd, London SW11 3AA",SW,Battersea,Space at Front,"Duke Of Cambridge, 228 Battersea Bridge Rd, London SW11 3AA",SW11 3AA,51.472608,-0.1659
"The Flag, 103 Culvert Rd, London SW11 5AU",SW,Battersea,Space at Front,"The Flag, 103 Culvert Rd, London SW11 5AU",SW11 5AU,51.472093,-0.159495
"Paya & Horse Pub, 181 Battersea Park Rd, London SW11 4LB",SW,Battersea,Space at Front,"Paya & Horse Pub, 181 Battersea Park Rd, London SW11 4LB",SW11 4LB,51.475733,-0.149095
"The Mason's Arms 169 Battersea Park Rd, London SW8 4BT",SW,Battersea,Space at Front,"The Mason's Arms 169 Battersea Park Rd, London SW8 4BT",SW8 4BT,51.476743,-0.146941
"The Nags Head, 53 Kinnerton St, London SW1X 8ED",SW,Belgravia,Mews,"The Nags Head, 53 Kinnerton St, London SW1X 8ED",SW1X 8ED,51.501335,-0.157092
"The Belgravia, 152 Ebury St, London SW1W 9JL",SW,Belgravia,Space at Front,"The Belgravia, 152 Ebury St, London SW1W 9JL",SW1W 9JL,51.492499,-0.151614
"The Antelope, The Antelope, Eaton Terrace, London SW1W 8EZ",SW,Belgravia,Space at Front,"The Antelope, The Antelope, Eaton Terrace, London SW1W 8EZ",SW1W 8EZ,51.494175,-0.155868
"The Alfred Tennyson, 10 Motcomb St, London SW1X 8LA",SW,Belgravia,Space at Front,"The Alfred Tennyson, 10 Motcomb St, London SW1X 8LA",SW1X 8LA,51.499681,-0.156486
"Duke of Wellington, 63 Eaton Terrace, London SW1W 8TR",SW,Belgravia,Space at Front,"Duke of Wellington, 63 Eaton Terrace, London SW1W 8TR",SW1W 8TR,51.493295,-0.153642
"The Thomas Cubitt, 44 Elizabeth St, London SW1W 9PA",SW,Belgravia,Space at Front,"The Thomas Cubitt, 44 Elizabeth St, London SW1W 9PA",SW1W 9PA,51.493817,-0.150826
"The Prince of Wales Brixton, 467- 469 Brixton Rd, London SW9 8HH",SW,Brixton,2+ Offerings,"The Prince of Wales Brixton, 467- 469 Brixton Rd, London SW9 8HH",SW9 8HH,51.461845,-0.115021
"Trinity Arms, 45 Trinity Gardens, London SW9 8DR",SW,Brixton,Beer Garden,"Trinity Arms, 45 Trinity Gardens, London SW9 8DR",SW9 8DR,51.461923,-0.118775
"The Duke of Edinburgh Pup, 204 Ferndale Rd, London SW9 8AG",SW,Brixton,Beer Garden,"The Duke of Edinburgh Pup, 204 Ferndale Rd, London SW9 8AG",SW9 8AG,51.46341,-0.119549
"Hope & Anchor, 123 Acre Ln, London SW2 5UA",SW,Brixton,Beer Garden,"Hope & Anchor, 123 Acre Ln, London SW2 5UA",SW2 5UA,51.459573,-0.128059
"Crown & Anchor, 246 Brixton Rd, London SW9 6AQ",SW,Brixton,Pedestrian/Spill,"Crown & Anchor, 246 Brixton Rd, London SW9 6AQ",SW9 6AQ,51.471102,-0.112998
"White Horse Brixton, 94 Brixton Hill, Brixton, London SW2 1QN",SW,Brixton,Space at Front,"White Horse Brixton, 94 Brixton Hill, Brixton, London SW2 1QN",SW2 1QN,51.454893,-0.120028
"Effra Social, 89 Effra Rd, Brixton, London SW2 1DF",SW,Brixton,Space at Front,"Effra Social, 89 Effra Rd, Brixton, London SW2 1DF",SW2 1DF,51.455669,-0.113461
